name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
marscarpone,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
marshmallow,0.0,28.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
martini,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
mayonnaise,100.0,0.0,0.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
melon,0.0,3.0,1.0,1.0,3.0,1.0,2,1.0,2.0,2.0,6.0,14.0,0,0,0,10
mezcal,0.0,5.0,7.0,0.0,0.0,26.0,0,0.0,0.0,0.0,0.0,33.0,0,0,0,0
midori,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
mint,0.0,38.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
molasses,0.0,27.0,0.0,26.0,58.0,2.0,0,16.0,3.0,32.0,54.0,0.0,0,0,0,0
monterey jack,38.0,0.0,47.0,0.0,0.0,27.0,0,51.0,0.0,0.0,0.0,0.0,0,0,0,0
mortar and pestle,11.0,0.0,7.0,18.0,0.0,11.0,0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
mozzarella,32.0,1.0,43.0,0.0,0.0,8.0,0,41.0,0.0,0.0,0.0,0.0,0,0,0,0
mushroom,8.0,2.0,2.0,5.0,0.0,16.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
mussel,4.0,2.0,30.0,28.0,10.0,16.0,0,3.0,18.0,103.0,13.0,9.0,0,538,5,6
mustard,4.0,2.0,8.0,9.0,11.0,48.0,1,5.0,6.0,62.0,8.0,0.0,0,0,2,0
mustard greens,0.0,2.0,7.0,7.0,0.0,1.0,0,8.0,0.0,0.0,0.0,52.0,0,0,0,0
nectarine,0.0,3.0,2.0,2.0,2.0,1.0,2,0.0,2.0,0.0,9.0,3.0,0,0,4,2
noodle,7.0,7.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
nut,50.0,13.0,35.0,33.0,60.0,0.0,0,3.0,46.0,38.0,247.0,0.0,0,0,0,0
nutmeg,128.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
oat,3.0,2.0,1.0,1.0,2.0,2.0,1,12.0,2.0,3.0,3.0,0.0,8,42,2,0
oatmeal,9.0,24.0,0.0,133.0,0.0,0.0,0,26.0,0.0,0.0,0.0,74.0,0,0,0,0
octopus,17.0,5.0,26.0,27.0,7.0,23.0,10,4.0,13.0,68.0,40.0,3.0,0,540,21,4
okra,0.0,3.0,6.0,3.0,0.0,0.0,0,6.0,0.0,0.0,0.0,13.0,0,0,0,0
olive,39.0,2.0,1.0,19.0,1.0,36.0,5,5.0,1.0,1.0,18.0,0.0,0,0,41,2
onion,1.0,22.0,22.0,20.0,0.0,19.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
orange,0.0,33.0,10.0,0.0,0.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
oregano,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
orzo,2.0,29.0,25.0,18.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
oyster,14.0,7.0,10.0,13.0,4.0,22.0,27,7.0,91.0,23.0,80.0,2.0,2,81,9,11
papaya,0.0,24.0,5.0,0.0,0.0,1.0,0,12.0,0.0,0.0,0.0,7.0,0,0,0,20
paprika,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
parmesan,36.0,5.0,57.0,3.0,8.0,78.0,7,66.0,38.0,63.0,4.0,0.0,110,58,4,29
parsley,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
parsnip,4.0,6.0,3.0,3.0,7.0,6.0,3,3.0,2.0,3.0,15.0,14.0,0,0,9,1
passion fruit,0.0,2.0,2.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.0,0,0,0,0
pea,18.0,23.0,28.0,21.0,24.0,13.0,42,9.0,30.0,13.0,49.0,0.0,0,0,15,9
peach,28.0,19.0,9.0,9.0,0.0,15.0,0,2.0,0.0,0.0,0.0,6.0,0,0,0,0
peanut,35.0,22.0,18.0,6.0,0.0,2.0,0,5.0,0.0,0.0,0.0,4.0,0,0,0,0
peanut butter,66.0,8.0,44.0,10.0,40.0,19.0,0,4.0,23.0,7.0,47.0,0.0,0,0,61,0
pear,0.0,6.0,1.0,1.0,2.0,0.0,4,1.0,1.0,0.0,9.0,5.0,0,0,1,0
